robots,Object_shape,path,WP,c/p/r,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
25.0,0.0,straight,0.0,0.0,0.110159408029,0.0701491676376,0.053729180512,0.071135868301,0.134837736891,0.115174833399,0.228289632831,0.074958423706,0.249483066317,0.0463804522001,0.075442841128,0.227321256451,0.0590408872698,0.244485228145,0.220657163602,0.0713847099993,0.156772571098,0.0732499596792,0.156501937527,0.096950930666,0.0331713177435,0.143480436239,0.0264587721416,0.0872954395713,0.149068901012,0.213725807688,0.107950646317,0.0955365801148,0.232872687091,0.0683114878873
25.0,0.0,straight,0.0,1.0,0.0803033870783,0.086546238309,0.0738834376918,0.0598210484709,0.0626854437669,0.0794624206906,0.100275520353,0.0648470401471,0.097447714546,0.05496554874,0.0512691792113,0.0999987761238,0.0731531800673,0.0713552885847,0.095305109142,0.0582972344112,0.106072308945,0.0730187334005,0.0784155753447,0.0754467427795,0.056650245329,0.0836632716385,0.0467916245186,0.0579682741423,0.0932189878188,0.0818625176747,0.0966682109447,0.0594458638174,0.0761622811781,0.0683054507002
25.0,0.0,straight,0.0,2.0,0.0304417,0.0516419,0.0252945,0.006129,0.0028309,0.0099116,0.0411192,0.0347263,0.032929,0.0127758,0.00865058,0.0021626,0.0087678,0.0248405,0.0512613,0.0086348,0.0258597,0.0216701,0.00432823,0.0407158,0.0133156,0.00244882,0.00684123,0.0163999,0.0226652,0.0329347,0.0279059,0.0218411,0.0507096,0.0092213
25.0,0.0,straight,1.0,0.0,0.142585660442,0.105143337248,0.100533534852,0.115007213291,0.199360721824,0.154440663902,0.295972021231,0.120320240011,0.291500748069,0.0956062987274,0.113482458879,0.27017534947,0.106596562087,0.287902119512,0.270582726134,0.136927172311,0.178134892724,0.118288205565,0.22323576642,0.141537969371,0.0827631826251,0.194426956748,0.0744345127545,0.134229083941,0.196899778118,0.265598865367,0.145122099366,0.150411807491,0.278698227759,0.106070326964
25.0,0.0,straight,1.0,1.0,0.0699473542803,0.047949571312,0.0573823028342,0.0826594989968,0.075339883065,0.055917274498,0.0710523761224,0.0474447899981,0.0507511314258,0.0558225382802,0.0502135275542,0.054584564897,0.0638975751441,0.0671278997821,0.0474361241709,0.0676222366806,0.0372906909843,0.0418622368633,0.0744470328585,0.0463662384452,0.0649289470532,0.0589305894096,0.0627146390216,0.0516902246295,0.0543776997712,0.0574748974663,0.0553260380107,0.0658050000836,0.0530138147318,0.0616728762132
25.0,0.0,straight,1.0,2.0,0.0297339,0.0655094,0.0172159,0.0143305,0.0010097,0.0293328,0.0402794,0.0216596,0.0375818,0.0047243,0.0035121,0.0076627,0.0264334,0.0158684,0.0259599,0.0245759,0.0331203,0.0461307,0.0117411,0.0619219,0.0074458,0.0020713,0.00240245,0.0210046,0.0084024,0.0227195,0.0297815,0.0261718,0.0671906,0.0010352
25.0,0.0,straight,2.0,0.0,0.202219608161,0.15424655777,0.157377465998,0.172217788106,0.255710567367,0.245639972403,0.336501426458,0.173460770665,0.363776411666,0.132178996979,0.156300624706,0.327994076811,0.143760616528,0.354567174702,0.323255703505,0.190269948773,0.226822610014,0.179432816453,0.25885003419,0.198629021571,0.141483212853,0.249450817297,0.124897494066,0.209718960152,0.248723594993,0.309726533121,0.209007871911,0.211578665614,0.342661819636,0.152012489132
25.0,0.0,straight,2.0,1.0,0.0729324069327,0.0569933533255,0.0675450944128,0.0653745181627,0.0578452541722,0.1198353883,0.0466344570335,0.063750992564,0.0775595942921,0.0436466986886,0.0528851258265,0.0658849053675,0.0261325469934,0.0738345539974,0.0542752017559,0.0609284719795,0.0668790071939,0.0615118795112,0.0464271623756,0.0582045975782,0.0698580244016,0.0628544467318,0.0612127672676,0.0895158284082,0.0555297517575,0.0474107003985,0.0699493097385,0.0656783275464,0.0656453934274,0.0557429473207
25.0,0.0,straight,2.0,2.0,0.0261597,0.111019,0.0245901,0.004962,0.00168208,0.0204822,0.0385947,0.0190837,0.040665,0.0102556,0.0131891,0.00600799,0.0486817,0.0383196,0.0140309,0.0152154,0.0403573,0.0782035,0.0073684,0.0792044,0.0048127,0.00783125,0.0010984,0.0546982,0.0185296,0.0189644,0.0333038,0.026651,0.094832,0.0152859
25.0,0.0,straight,3.0,0.0,0.261250568063,0.216860509956,0.201083943571,0.232752628776,0.303937839215,0.266104296458,0.413641268657,0.236201201979,0.414252654836,0.188510443064,0.204054219784,0.391496274194,0.199041145145,0.418499808342,0.402260530219,0.251985805448,0.293672950772,0.246245016065,0.329398439634,0.266191258141,0.21937681832,0.312167451109,0.179107292938,0.261406331174,0.306718054234,0.392144464288,0.253940674792,0.273160158099,0.385310393342,0.191140184938
25.0,0.0,straight,3.0,1.0,0.085006996985,0.0538884112983,0.0448066407596,0.0670561489059,0.049194120983,0.031997853413,0.0749580600347,0.0667196472539,0.0555271050541,0.0626652079358,0.0555666022355,0.0640106712616,0.0715464173809,0.0728368694221,0.0781304583755,0.0648172199361,0.0747859383634,0.0599240630472,0.0809719242751,0.0703905213992,0.0921102072381,0.0714551368536,0.0622081244562,0.0594946265611,0.0663989739065,0.0785032855017,0.0414603653271,0.0801132939632,0.0506357025118,0.0447864308836
25.0,0.0,straight,3.0,2.0,0.0542345,0.14032,0.0219223,0.0060867,0.0130696,0.009371023,0.0541023,0.021743,0.045433,0.0113973,0.0138106,0.0080652,0.0680559,0.0441111,0.0319771,0.0255979,0.0376128,0.11267,0.0228473,0.0817511,0.0185008,0.00804338,0.0004134,0.0670764,0.0037471,0.0197082,0.0782784,0.0171324,0.09892,0.0271476
25.0,0.0,straight,4.0,0.0,0.309989092341,0.283654559952,0.247104989304,0.284413770145,0.367219489469,0.332556248478,0.47692540719,0.272302427665,0.48132710027,0.247549289156,0.277102810805,0.461886634696,0.248773234207,0.485849517451,0.461201680652,0.30001714179,0.314175016122,0.312077522683,0.412534532548,0.326668051944,0.271839785675,0.379645851324,0.23334170116,0.309474824754,0.371391308935,0.456954266559,0.311060229624,0.33898662431,0.454320610098,0.247858783361
25.0,0.0,straight,4.0,1.0,0.0553777500591,0.0640833493897,0.057177197875,0.0620049780293,0.0739879274358,0.0725373381729,0.0597631988202,0.0368011178908,0.0682522279409,0.0648644620902,0.0761237955494,0.0716684494461,0.0490852677516,0.065184851601,0.0610962078263,0.0404653645144,0.032623832049,0.0593955454222,0.0919346035312,0.0594622158874,0.081393982617,0.0739357551392,0.0606092607875,0.0497474317955,0.0716260401453,0.064050359623,0.0652539142918,0.0787995838675,0.0672789754681,0.0586861542988
25.0,0.0,straight,4.0,2.0,0.0834205,0.162734,0.0277747,0.011866,0.0096754,0.00723242,0.0525861,0.0299741,0.0582283,0.0251948,0.0166865,0.00183064,0.067409,0.0456937,0.0374797,0.0209296,0.0334043,0.15009,0.0168626,0.094776,0.00049863,0.00337745,0.0063112,0.0888996,0.0131318,0.0260039,0.0724273,0.0436707,0.130502,0.0318435
25.0,0.0,straight,5.0,0.0,0.366522120649,0.344057962189,0.30216660201,0.337875281851,0.423358824597,0.38121570079,0.542943558945,0.335917977561,0.542020667219,0.302050100086,0.333947765691,0.516232088428,0.291265611489,0.556343303325,0.52335544948,0.363099595239,0.376079254279,0.352679907157,0.494079760888,0.398942114073,0.362722962543,0.424304838437,0.289473649153,0.361666235591,0.427291113252,0.543420510555,0.363708777776,0.401995038205,0.522080817714,0.307568559833
25.0,0.0,straight,5.0,1.0,0.0600542724688,0.0584680764614,0.0671146127189,0.0614511588838,0.0658619232528,0.0953946733945,0.0690128983539,0.0735969033971,0.0624055346463,0.062931718952,0.0714022907266,0.0567038094907,0.05305077374,0.0722994336177,0.0657613645236,0.079458904516,0.0676569786444,0.0257950224509,0.0866321505422,0.0718027783842,0.124075219121,0.0462165961603,0.0712925882101,0.0563573554228,0.0612467735395,0.0866930349618,0.067258772662,0.0623166514929,0.0734185012378,0.0697279959621
25.0,0.0,straight,5.0,2.0,0.0497138,0.176487,0.0429164,0.0198495,0.0013335,0.021524,0.0775871,0.0402478,0.0545222,0.0318758,0.0375342,0.00038715,0.0771429,0.083306,0.0450024,0.0410439,0.034486,0.187496,0.0221211,0.115998,0.0135011,0.00558515,0.010017,0.096863,0.0149365,0.0630936,0.107835,0.0420249,0.15521,0.0527441
25.0,0.0,straight,6.0,0.0,0.417538691008,0.411684050091,0.360624672195,0.396010504814,0.482799253386,0.452159470089,0.608956662138,0.381006855282,0.589210496632,0.363628339419,0.383316437151,0.591356910421,0.327402623196,0.635917119062,0.61113104532,0.398249251424,0.450037989391,0.420290673743,0.559563030548,0.454568812008,0.416701981756,0.505732552963,0.342548820566,0.418181685588,0.495230383393,0.586278312147,0.419423650425,0.458382111063,0.586358735964,0.349730112116
25.0,0.0,straight,6.0,1.0,0.0761513518002,0.0636140706486,0.0644586380378,0.0761054601211,0.0662605227254,0.0946322092949,0.0652425476223,0.0518695154488,0.052372341483,0.0705911267183,0.0506098931262,0.0812318916229,0.0537890523659,0.0822439369427,0.0856261767242,0.0319554355816,0.0806505055015,0.0662793834314,0.0689011480964,0.0586489533806,0.0545049757753,0.0848441814882,0.0654341603751,0.0569370859958,0.0675086964242,0.0378543341626,0.0643688987869,0.0572064717751,0.0587301183286,0.0409169158076
25.0,0.0,straight,6.0,2.0,0.0179084,0.214758,0.0441152,0.0100529,0.0173384,0.00072814,0.091469,0.032335,0.0695496,0.0369049,0.0295041,0.0295061,0.096201,0.090627,0.0672706,0.0306297,0.0266164,0.223514,0.0408828,0.121822,0.00582642,0.0041151,0.0179028,0.101107,0.0370354,0.0494817,0.098635,0.0582551,0.167411,0.059469
25.0,0.0,straight,7.0,0.0,0.473853479781,0.468309359208,0.424203876088,0.449846180445,0.512211370686,0.509412970785,0.679134017183,0.45101774906,0.664171490122,0.414486551036,0.456894700895,0.675178479309,0.395978427441,0.700035410911,0.674801759659,0.460317396195,0.473324823964,0.4643807733,0.644411059347,0.510109093618,0.484369462201,0.560965349129,0.395882772903,0.472817577367,0.547839262137,0.65175042107,0.478343755692,0.508259634235,0.669300221142,0.410549306682
25.0,0.0,straight,7.0,1.0,0.071479271881,0.0546635403289,0.0755369502959,0.0632385759328,0.0417641216242,0.0565488704329,0.086496451333,0.0686039625597,0.0769238198236,0.0586042954003,0.0841310596936,0.0851356852339,0.0678293842585,0.0653469242184,0.0623017388509,0.0546225920448,0.0379692372323,0.0818341247628,0.0872214364764,0.0544271757828,0.0755614279723,0.05578240366,0.0644909469541,0.0603048432619,0.0574579303407,0.0635641121543,0.0636953709656,0.0462234844045,0.0822898109139,0.0702699673533
